,Feature,Non-Null Count,Mean,Std Dev,Min,Max
1,Temperature (°F),41452.0,53.63092251278587,16.697791845859072,-9.0,99.0
2,Dew Point (°F),41444.0,42.50979635170351,18.350164668610823,-31.0,77.0
6,Wind Speed (mph),41440.0,10.845487451737451,5.53445744999015,0.0,110.0
7,Wind Gust (mph),6618.0,27.56300997280145,6.423145402591269,16.0,68.0
10,Humidity (%),41444.0,69.13249203744812,20.314924876172253,13.0,100.0
12,Hourly Precip (in),41454.0,0.007065421913446231,0.037686679763050915,0.0,1.23
14,Visibility (mi),41449.0,8.606355762503316,2.929132828756077,0.0,10.0
15,Pressure (inHg),41452.0,29.967210026054232,0.2511564451703769,28.63,30.76
18,UV Index,41440.0,0.7161196911196911,1.3691328542069021,0.0,9.0
